ts_recv,price,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,weighted_mid,rv_60s,ret_60s
2023-05-18 08:01:00+00:00,416.05,416.01,416.04,9985,1300,416.0365440850687,1.1454976062849139e-07,-0.000282455540684845
2023-05-18 08:02:00+00:00,416.0,415.89,415.94,1800,1300,415.91903225806453,9.109196201757503e-08,4.507011764154356e-05
2023-05-18 08:03:00+00:00,415.89,415.9,415.94,400,1300,415.9094117647059,3.6479606469740153e-08,0.00012564301248363385
2023-05-18 08:04:00+00:00,415.96,416.0,416.04,400,1800,416.0072727272727,3.849545971149894e-08,7.202707785958218e-05
2023-05-18 08:05:00+00:00,416.02,416.03,416.05,400,5,416.04975308641974,7.499759588142727e-08,9.958312443769657e-05
2023-05-18 08:06:00+00:00,416.04,416.09,416.14,500,1700,416.10136363636366,1.159791115433347e-07,0.0001384499563772401
2023-05-18 08:07:00+00:00,416.15,416.11,416.14,52,1300,416.11115384615385,5.191441484813914e-08,0.0002424722533185264
2023-05-18 08:08:00+00:00,416.24,416.19,416.24,1700,1140,416.2199295774648,4.5138673103079214e-08,-8.392096337217492e-05
2023-05-18 08:09:00+00:00,416.15,416.16,416.21,2100,500,416.2003846153846,8.121600920832934e-08,0.00017486881501693752
2023-05-18 08:10:00+00:00,416.15,416.24,416.28,400,400,416.26,4.776489561531812e-08,0.0001389845052537364
2023-05-18 08:11:00+00:00,416.34,416.31,416.34,400,1731,416.3156311590802,5.101842349834543e-08,-0.00012161724252168771
2023-05-18 08:12:00+00:00,416.3,416.25,416.28,400,400,416.265,5.178602563905559e-08,-0.0001151698472622309
2023-05-18 08:13:00+00:00,416.2,416.21,416.24,400,1300,416.2170588235294,3.396707569035071e-08,-5.2998364823753086e-05
2023-05-18 08:14:00+00:00,416.16,416.15,416.2,400,1700,416.1595238095238,3.751458518734386e-08,3.6040798183423206e-05
2023-05-18 08:15:00+00:00,416.16,416.19,416.22,400,400,416.205,3.7604794955904897e-08,-0.0002282501621776456
2023-05-18 08:16:00+00:00,416.12,416.1,416.13,400,400,416.115,3.759482316251796e-08,0.00025714045396108
