epoch,train_loss,dev_loss
0,1.1374068288005794,1.1145404110183874
10,0.6602894349875457,0.6316473682796091
20,0.3596475989876684,0.3142652730016223
30,0.23681540957635874,0.21042335407167367
40,0.18370965941191977,0.1612976685850871
50,0.11267029270631729,0.12485463779173336
60,0.10044581415169868,0.12665227456086045
70,0.0993042667889032,0.11452544145040856
80,0.09544132745089334,0.10404498974534696
90,0.08746092096729978,0.09519456305680778
100,0.06149350616440411,0.0801956060067015
110,0.02460029538588825,0.06488070037789843
120,-0.02166973790910167,0.023724074111138152
130,-0.004509772687095752,0.025281870492591136
140,-0.0185984570013265,-0.003461058263731908
150,-0.04053494695835786,-0.020901300309583357
160,-0.06460914410427138,-0.04013444682251154
170,-0.09991882157965276,-0.07419723683269734
180,-0.17731352380593324,-0.15257338878422888
190,-0.22447777425167875,-0.1989228281543414
200,-0.2654809710970691,-0.23842613257169037
210,-0.2804634116689106,-0.2539982055829029
220,-0.2925938088958994,-0.26642738541775485
230,-0.3045419537357605,-0.27876384804430393
240,-0.314898044939574,-0.28918178654620663
250,-0.3225415333464482,-0.29687260293200457
260,-0.3311288635575795,-0.3047439090990374
270,-0.29899754205884854,-0.27216958667666
280,-0.3370966392622841,-0.31047014430150743
290,-0.34388203564980113,-0.3183683672755137
300,-0.3482217193433804,-0.32183160761588414
310,-0.35140269834435245,-0.32415272699800085
320,-0.3571439609405937,-0.3297381763642732
330,-0.3602142433183382,-0.332711740897201
340,-0.3641024654085492,-0.3362592855612027
350,-0.36670064320703116,-0.33877540772813236
360,-0.3696848594822288,-0.34111876259337476
370,-0.37230826986753224,-0.3431585556856243
380,-0.3744935267482244,-0.3454856052497336
390,-0.37742046670356943,-0.3479985132141021
400,-0.3783263033912574,-0.34898262728129553
