epoch,train_loss,dev_loss
0,1.4156561752379864,1.3928111259367713
10,0.8112508966644381,0.7968837585946627
20,0.2285994376343765,0.23977156913987555
30,0.00805494846826076,0.028250244911414018
40,-0.07304170434372777,-0.045735530718718574
50,-0.10147973101632757,-0.06896593269160758
60,-0.12761625051294156,-0.09010590626562441
70,-0.15072952639476261,-0.10956341868061123
80,-0.15344483810205056,-0.1057144411973836
90,-0.1610512730254541,-0.10930503360605967
100,-0.15907270144433136,-0.1050496301667412
110,-0.1553571213079287,-0.09990289992516202
120,-0.15281116527370198,-0.09616420449566579
130,-0.1666032639478197,-0.10796129298310266
140,-0.21615927912301702,-0.16278297056008392
150,-0.2591236246417887,-0.20312949054222953
160,-0.32135669372047826,-0.26340668570923326
170,-0.3807402444254151,-0.34022306285401377
180,-0.47185487951598687,-0.4379135281840871
190,-0.4707892911071132,-0.43865247961656756
200,-0.5829249296658208,-0.5440409633421528
210,-0.6671450202759629,-0.6256734728199351
220,-0.7190091516214656,-0.6768094599982399
230,-0.7613594024860973,-0.7179230808472308
240,-0.7938347664167419,-0.7488006930955188
250,-0.819427266708051,-0.7732084889324101
260,-0.8429912019783398,-0.7958940864331211
270,-0.8611301671841696,-0.8132626439003461
280,-0.8758621308403518,-0.8271602824193118
290,-0.8851881459559181,-0.8363447403877633
300,-0.8960435717523111,-0.8458637372266575
310,-0.9020270418566274,-0.8513073682508393
320,-0.9087045416698791,-0.8574680979540392
330,-0.912944875768867,-0.8599752884865228
340,-0.9208409896199881,-0.8668739332839166
350,-0.9154921655888426,-0.8604091293568605
360,-0.9205011920755015,-0.8659636568462734
370,-0.9294126178661724,-0.8731016202090737
380,-0.9343039645519793,-0.8783873714924115
390,-0.9413208285607669,-0.8854187517703068
400,-0.943696948846163,-0.8871778458625957
