epoch,train_loss,dev_loss
0,1.410773879320389,1.3880077656276995
10,0.6716475905475372,0.6639364346857743
20,0.17052255820179,0.19329949397662877
30,-0.06729251350339446,-0.04263755363809086
40,-0.15093961866540662,-0.12374991427479251
50,-0.19120613000535638,-0.156150198908029
60,-0.2393983663661102,-0.20622086447143462
70,-0.30203909437162235,-0.262207101920188
80,-0.3729580265341449,-0.32972645684950197
90,-0.45584540548542696,-0.4235658584186338
100,-0.6727318849051861,-0.6453807263279353
110,-0.7447359140835664,-0.7077420439217685
120,-0.6981357860176272,-0.6553279135030212
130,-0.7502054410859498,-0.7139615868758376
140,-0.7872251469291003,-0.7492225088125948
150,-0.8730049671050852,-0.8323260488625537
160,-0.905103944426163,-0.8649398896720231
170,-0.9404645101270153,-0.900959050581942
180,-0.9466000163464212,-0.9078873985858977
190,-0.9577645078780017,-0.9186115032159214
200,-0.992074601657092,-0.949985511106663
210,-1.0000309011673367,-0.9574062833132696
220,-1.0065779083404238,-0.9632446343893045
230,-1.0113179771164087,-0.967461489504544
240,-1.0187560850503001,-0.9747048081827815
250,-1.0233542163403653,-0.9789090654365065
260,-1.0292254523303295,-0.9845656735338267
270,-1.0346492143742922,-0.9898631224557898
280,-1.0393021647745837,-0.9943262079864194
290,-1.0435762227175776,-0.9983876742828892
300,-1.0489822041103412,-1.0038024321276777
310,-1.052154169835061,-1.006646181344785
320,-1.0570560147070722,-1.0115361275800807
330,-1.058684271121269,-1.0128146793144157
340,-1.0638047115022884,-1.017906713812394
350,-1.0666346054347096,-1.0205736892732815
360,-1.0716846572672722,-1.0256266641024545
370,-1.0742617985476117,-1.028059516520126
380,-1.0747499370843507,-1.028143056487155
390,-1.0796775496057083,-1.0331804600946968
400,-1.0814556673595304,-1.0346996058200175
